"","measurement.no","f2","vowel"
"1",0,1438.19846751381,"A"
"2",0.204081632653061,1486.77761064713,"A"
"3",0.408163265306122,1468.53167807988,"A"
"4",0.612244897959184,1503.50443776052,"A"
"5",0.816326530612245,1545.53342361712,"A"
"6",1.02040816326531,1530.65584240397,"A"
"7",1.22448979591837,1534.81028650018,"A"
"8",1.42857142857143,1512.34407597713,"A"
"9",1.63265306122449,1530.52178667865,"A"
"10",1.83673469387755,1566.21889712239,"A"
"11",2.04081632653061,1545.05868070841,"A"
"12",2.24489795918367,1498.60646911454,"A"
"13",2.44897959183673,1535.68675689896,"A"
"14",2.6530612244898,1585.71910401725,"A"
"15",2.85714285714286,1595.65832742565,"A"
"16",3.06122448979592,1611.21927773908,"A"
"17",3.26530612244898,1605.93434442378,"A"
"18",3.46938775510204,1615.34892050434,"A"
"19",3.6734693877551,1683.5926393414,"A"
"20",3.87755102040816,1744.49427095291,"A"
"21",4.08163265306122,1803.23269234982,"A"
"22",4.28571428571429,1894.9310764168,"A"
"23",4.48979591836735,1904.91586376173,"A"
"24",4.69387755102041,1979.42854384287,"A"
"25",4.89795918367347,1936.51724365157,"A"
"26",5.10204081632653,1942.04780482265,"A"
"27",5.30612244897959,1955.33148056178,"A"
"28",5.51020408163265,1937.84076596976,"A"
"29",5.71428571428571,1940.54981052807,"A"
"30",5.91836734693878,1940.28767551076,"A"
"31",6.12244897959184,1968.58772963856,"A"
"32",6.3265306122449,1924.20116491295,"A"
"33",6.53061224489796,1981.7791153614,"A"
"34",6.73469387755102,1979.31288450641,"A"
"35",6.93877551020408,1970.99244081947,"A"
"36",7.14285714285714,1996.41643410359,"A"
"37",7.3469387755102,2015.19532094657,"A"
"38",7.55102040816326,1997.85060937271,"A"
"39",7.75510204081633,1967.8845896504,"A"
"40",7.95918367346939,1982.90107331632,"A"
"41",8.16326530612245,1991.81348320362,"A"
"42",8.36734693877551,2049.96630137119,"A"
"43",8.57142857142857,2006.25903909811,"A"
"44",8.77551020408163,2017.92511031875,"A"
"45",8.97959183673469,2005.88368886397,"A"
"46",9.18367346938775,2010.65391466226,"A"
"47",9.38775510204082,1984.43052637815,"A"
"48",9.59183673469388,2002.88213798159,"A"
"49",9.79591836734694,2015.84708506538,"A"
"50",10,2049.20683684713,"A"
